artist_name_raw,artist_name_norm,listeners,playcount
ATEEZ,ateez,768213,201000241
Aurora,aurora,1754730,85891566
Abraham Mateo,abraham mateo,162823,2578714
Adele,adele,5508740,311158014
Ado,ado,646112,71495130
Agust D,agust d,807824,526552595
Aimer,aimer,462633,23848010
Aitana,aitana,225321,13468431
Alan Gomez,alan gomez,88464,1467233
Alejandro Sanz,alejandro sanz,670983,14452761
Alesso,alesso,1401966,22803171
Alex Rasov,alex rasov,4042,32663
Alok,alok,1202983,24477231
Alvaro Soler,alvaro soler,364646,6185982
Amazonics,amazonics,86402,569856
Ana Mena,ana mena,122562,4023801
Anakelly,anakelly,80947,418437
Andrés Cepeda,andrés cepeda,95499,2487636
Angelo De Augustine,angelo de augustine,291253,3584066
Anitta,anitta,1162521,147724795
Antonio José,antonio josé,41755,524989
Antoñito Molina,antoñito molina,6167,72288
Arca,arca,774230,69592280
Ariana Grande,ariana grande,4339046,1048587596
Ashe,ashe,1141778,24995021
Ava Max,ava max,1529644,64670607
Ayra Starr,ayra starr,330193,6461614
Baby Monster,baby monster,37520,217595
BLACKPINK,blackpink,1903770,297978921
BTS,bts,2262580,2715012913
Banda Do Sul,banda do sul,35019,216211
BARROSO,barroso,1506,7077
Beach Bunny,beach bunny,1494505,42285249
Benson Boone,benson boone,1420152,42791172
beret,beret,107019,2706864
Bershy,bershy,79952,1306702
Besmaya,besmaya,25183,349435
Beyoncé,beyoncé,6262509,674960349
Billie Eilish,billie eilish,4086938,795579495
Bizarrap,bizarrap,891245,44175669
Björk,björk,3377141,250007142
Black Eyed Peas,black eyed peas,5582813,146177548
Borja Rubio,borja rubio,4546,25315
BossArt Ensemble,bossart ensemble,10919,58399
Bossa Bros,bossa bros,17385,162559
Bossa Nova Covers,bossa nova covers,35416,597522
Bruno Mars,bruno mars,5045095,272916173
Cafuné,cafuné,1409821,31126270
Cali & El Dandee,cali & el dandee,21053,188067
Calle 24,calle 24,182491,5211219
Calvin Harris,calvin harris,4865687,198658276
Camela,camela,58010,675961
Camila Cabello,camila cabello,2319358,124581017
Camilo,camilo,357092,7164130
Canelita,canelita,21357,238678
Carlos Rivera,carlos rivera,139778,1905879
Carlos Vives,carlos vives,617697,8184758
Catching Flies,catching flies,336769,4119478
Cavetown,cavetown,1575514,83203797
Chappell Roan,chappell roan,2444937,311663788
Charli xcx,charli xcx,3632365,669150947
Chris Norman,chris norman,259596,1814459
Cigarettes After Sex,cigarettes after sex,2766911,290966753
Clairo,clairo,2816473,328238062
Clean Bandit,clean bandit,2441961,48557589
Coldplay,coldplay,8938437,764488984
Conan Gray,conan gray,2338522,235980853
Connor Kauffman,connor kauffman,147105,3124776
Dani Fernández,dani fernández,31897,867158
Danny Ocean,danny ocean,505736,12381628
David Bisbal,david bisbal,357793,5224647
David Guetta,david guetta,5091125,181555963
Daviles de Novelda,daviles de novelda,22340,214976
Demarco Flamenco,demarco flamenco,20684,151710
Depeche Mode,depeche mode,4360558,289405700
Diego Torres,diego torres,269260,2602604
Doja Cat,doja cat,3492541,442773326
DRAGANOV,draganov,14007,536095
Drugdealer,drugdealer,616694,8073728
Dua Lipa,dua lipa,3171518,309457258
Duran Duran,duran duran,3077273,72995382
EKKSTACY,ekkstacy,890033,18315288
ELYELLA,elyella,21190,309425
ENHYPEN,enhypen,1065505,298445823
Ed Sheeran,ed sheeran,4109997,249025504
El Arrebato,el arrebato,63760,591639
El Barrio,el barrio,49929,1031420
El Duende Callejero,el duende callejero,4151,46972
Elton John,elton john,5122396,158588071
Emilia,emilia,485450,17661074
Enol,enol,14323,459510
Enrique Iglesias,enrique iglesias,2634586,52557300
Erika,erika,272865,3488850
Eslabon Armado,eslabon armado,728378,30313935
Estopa,estopa,305679,8732592
EUGENIO ESQUIVEL,eugenio esquivel,47142,495499
Eve St. Jones,eve st. jones,84624,671887
Eyedress,eyedress,2133735,72024131
Fifty Fifty,fifty fifty,1309687,34270646
FKJ,fkj,805736,14478610
Faouzia,faouzia,341806,8450794
Faye Webster,faye webster,1717779,127275855
Felix Jaehn,felix jaehn,808429,10658955
Fireboy DML,fireboy dml,360974,5465552
Fito Y Fitipaldis,fito y fitipaldis,122174,3550574
Flowtiago,flowtiago,5508,36778
Fondo Flamenco,fondo flamenco,61970,818929
Forest Blakk,forest blakk,240529,2599795
Fraderita,fraderita,1542,11704
Frou Frou,frou frou,2027408,36712502
Fuerza Regida,fuerza regida,516956,37008314
Fujii Kaze,fujii kaze,769085,27597737
Galantis,galantis,1540317,28331725
Galvan Real,galvan real,8211,122183
Gracie Abrams,gracie abrams,1737467,272715756
Greeicy,greeicy,120946,1982496
HWASA,hwasa,404315,5800621
Ha*Ash,ha*ash,155063,3738800
Hadrian,hadrian,13103,161356
Harry Styles,harry styles,3108912,389089997
Hotel Ugly,hotel ugly,1820500,50348417
Hozier,hozier,3244739,269092591
ITZY,itzy,963075,131872558
IVE,ive,995295,147824467
Izal,izal,65315,3006140
Imagine Dragons,imagine dragons,3974554,245207172
Inazio,inazio,5498,77132
India Martinez,india martinez,53012,622064
Isaac Hale,isaac hale,11470,39436
Ituana,ituana,117022,739769
Jawny,jawny,1017207,15443767
Jennie,jennie,1407678,100029210
JISOO,jisoo,599654,43223413
JP Saxe,jp saxe,683872,9577572
JVKE,jvke,1529770,43736058
Jack Harlow,jack harlow,1797215,75556378
James Arthur,james arthur,1746312,46456072
Jason Derülo,jason derülo,764019,6085082
Javi Medina,javi medina,10515,88069
Jax Jones,jax jones,965650,15369556
JDM,jdm,3550,12269
Jesse & Joy,jesse & joy,399096,9515855
Jimin,jimin,835564,766126646
Jin,jin,768679,738663256
Joan Y Su Elite,joan y su elite,18863,214244
Joel Corry,joel corry,848639,11763134
John K.,john k.,1028,23243
John Mayer,john mayer,3709928,200031326
Jonas Brothers,jonas brothers,2124815,73672479
Juanes,juanes,1179069,21133903
juanlu montoya,juanlu montoya,4302,30314
Jung Kook,jung kook,1392865,770667952
Junior H,junior h,367932,47637599
K/DA,k/da,800624,29332817
Kany García,kany garcía,116629,1726204
Katy Perry,katy perry,6973328,423193436
Kendrick Lamar,kendrick lamar,4948353,989014976
Kike & Manu,kike & manu,1833,9700
King Gnu,king gnu,473288,16763024
Kygo,kygo,1929106,57449974
Kylie Minogue,kylie minogue,3471609,171779442
Käärijä,käärijä,297778,12364276
LAX,lax,7384,67340
LE SSERAFIM,le sserafim,1563243,283258017
Leisure,leisure,503811,7144684
Lisa,lisa,1875588,122134072
LOVELI LORI,loveli lori,316294,4833013
La Cebolla,la cebolla,4321,28711
La Llave,la llave,1259,6272
Lady Gaga,lady gaga,7547182,991069257
Lalo Ebratt,lalo ebratt,77074,667291
Lana Del Rey,lana del rey,5107696,1507866046
Lasso,lasso,138660,2890628
Laufey,laufey,2195102,233321651
Lauv,lauv,1702165,75601635
League of Legends,league of legends,1195604,53699293
Lewis Capaldi,lewis capaldi,1487847,50544007
Lin Cortés,lin cortés,6454,45324
Lizzo,lizzo,1711491,55198527
LoJay,lojay,132789,1381629
Lola Indigo,lola indigo,168542,6582011
Lola Marsh,lola marsh,257001,3123702
Loona,loona,1117241,110107666
Loreen,loreen,772867,19855730
Lori Meyers,lori meyers,120459,4116932
Lost Frequencies,lost frequencies,1195482,23465998
Loud Luxury,loud luxury,650230,8551596
Luca Giacco,luca giacco,15613,107160
Luck Ra,luck ra,116261,3239774
Luis Cortés,luis cortés,9256,102553
LUIS GABRIEL,luis gabriel,12687,216692
Lykke Li,lykke li,3061337,95675160
MAMAMOO,mamamoo,713548,40661753
MAN WITH A MISSION,man with a mission,272841,8427797
Marlena,marlena,25437,592811
Mabel,mabel,719831,13812114
Mac Miller,mac miller,3406658,411629156
Magdalena Bay,magdalena bay,1368239,104384504
Maggie Rogers,maggie rogers,896565,34297699
Majestic,majestic,525771,3604283
maka,maka,26520,498158
Maki,maki,132667,6146026
Manuel Medrano,manuel medrano,151159,3624241
Manuel Turizo,manuel turizo,493548,9201854
Maná,maná,827579,19088078
Mari Froes,mari froes,44735,210523
Maria Becerra,maria becerra,242409,10557482
Mark Ronson,mark ronson,2998201,49083521
Marlon,marlon,35758,555506
Marshmello,marshmello,2489765,66041764
Marta Santos,marta santos,18107,226573
María Peláe,maría peláe,13682,266129
Masego,masego,1024625,20026997
Mau y Ricky,mau y ricky,194560,2664932
Melendi,melendi,309105,7859881
Michael Kiwanuka,michael kiwanuka,964171,23531289
Michelle Simonal,michelle simonal,87162,491673
Miguel Campello,miguel campello,10690,131053
Mike Bahía,mike bahía,78219,999299
Mikel Izal,mikel izal,10869,161708
Miley Cyrus,miley cyrus,4732260,291831496
Mind Enterprises,mind enterprises,69750,488600
Miss Caffeina,miss caffeina,64396,1958182
Morat,morat,295795,21692819
Mrs. GREEN APPLE,mrs. green apple,403842,10972180
Muerdo,muerdo,40047,450136
Måneskin,måneskin,1803089,97649872
NATHY PELUSO,nathy peluso,297882,11882744
NAYEON,nayeon,745994,38597507
Nara,nara,25301,173464
Natanael Cano,natanael cano,351290,33213693
Nathan Dawe,nathan dawe,365222,3976787
Nation of Language,nation of language,231066,4308778
Nea,nea,229275,2181475
New Constellations,new constellations,225856,1667367
NewJeans,newjeans,1725971,314299225
Nil Moliner,nil moliner,38761,846685
Miley Cyrus,miley cyrus,4732260,291831496
Nyno Vargas,nyno vargas,18934,148581
O-Zone,o-zone,817224,6642532
Ocie Elliott,ocie elliott,273888,3098369
Ofenbach,ofenbach,578647,7837755
Olivia Dean,olivia dean,1167753,50827783
Olivia Rodrigo,olivia rodrigo,2974951,529406462
Omah Lay,omah lay,351922,6237208
Omar Montes,omar montes,112336,1886585
OneRepublic,onerepublic,4232252,132252233
P!nk,p!nk,3691758,120671535
PEDRO SAMPAIO,pedro sampaio,513792,24840737
Psy,psy,1611165,34094649
Pablo Alborán,pablo alborán,278193,6195616
Pablo Cepeda,pablo cepeda,14615,225305
Paula Mattheus,paula mattheus,8189,175728
Pedro Capó,pedro capó,244814,2026106
Pedro El Flamenkito,pedro el flamenkito,550,2673
Pepe y Vizio,pepe y vizio,20893,351563
Peso Pluma,peso pluma,655959,48300612
PinkPantheress,pinkpantheress,2784488,278711099
Purple Disco Machine,purple disco machine,575767,10309860
Pyllo Cortes,pyllo cortes,1009,8730
R3hab,r3hab,925013,15549754
RADWIMPS,radwimps,674905,41290762
RAYE,raye,1690962,50919317
RM,rm,751234,492425052
ROSALÍA,rosalía,1775012,186656148
Rosé,rosé,1602875,99567958
Rasel,rasel,27476,164715
RaulE,raule,3891,59118
Rawayana,rawayana,128793,3681932
Red Velvet,red velvet,1336069,236714265
Regard,regard,844885,11345489
Reik,reik,605722,13862432
Rio Branco,rio branco,18367,280944
Riton,riton,975395,10058073
Robin Schulz,robin schulz,1258917,22062698
Ruben Delallana,ruben delallana,603,2365
Sault,sault,586732,12535753
Sabrina Carpenter,sabrina carpenter,3103818,595995161
Salistre,salistre,3054,27466
Sam Fischer,sam fischer,406835,4111637
Sam Smith,sam smith,3009092,110230406
Sarah Menescal,sarah menescal,101109,854189
Sebastian Yatra,sebastian yatra,620419,14319016
Selena Gomez,selena gomez,3082273,198244938
Sergio Contreras,sergio contreras,55521,432393
Shakira,shakira,4737430,172812770
Shakira Martínez,shakira martínez,2224,14257
Shawn Mendes,shawn mendes,2622681,136209156
Shinova,shinova,13569,496380
Sia,sia,4318068,160272841
Siempre Asi,siempre asi,29649,297857
Sigala,sigala,765950,11863627
Siloé,siloé,18519,474362
Silvestre Dangond,silvestre dangond,94198,1600223
Simple Plan,simple plan,2753817,79034769
Sofía Reyes,sofía reyes,269607,2795995
Stereo Dub,stereo dub,42432,242630
Stray Kids,stray kids,1293667,463003283
Switch Disco,switch disco,151258,1126857
Tini,tini,382387,19037969
TOMORROW X TOGETHER,tomorrow x together,1177914,413407689
TWICE,twice,1821929,474935309
Tai Verdes,tai verdes,562634,9505517
Tate McRae,tate mcrae,2159958,252030038
Taylor Swift,taylor swift,5792120,3539673361
Teddy Swims,teddy swims,1101671,19510266
The Cooltrane Quartet,the cooltrane quartet,98387,876797
The Kolors,the kolors,108143,1585063
The Marías,the marías,2334526,209775507
The Teskey Brothers,the teskey brothers,299222,3813723
The Weeknd,the weeknd,5158357,1068133647
Tiësto,tiësto,2696032,67357857
Topic,topic,520402,6009470
Travis Birds,travis birds,14915,206932
Tropkillaz,tropkillaz,334555,4418617
Troye Sivan,troye sivan,2368621,163487066
Tu otra bonita,tu otra bonita,15688,166240
Twenty One Pilots,twenty one pilots,3205319,402453084
Ultraligera,ultraligera,5960,186555
V,v,884136,695321327
VK Blanka,vk blanka,180531,2229782
Valeria Castro,valeria castro,36634,514492
Vanesa Martín,vanesa martín,42629,914226
Viva Suecia,viva suecia,36506,1659801
Wallows,wallows,2007087,121942518
Walls,walls,85111,2389691
Weyes Blood,weyes blood,1087761,59082329
Will Paquin,will paquin,621631,8795614
Wisin,wisin,433080,4976876
Wizkid,wizkid,565433,13510109
X Ambassadors,x ambassadors,1105267,16749678
Xavi,xavi,293535,7488031
YOASOBI,yoasobi,846681,51155669
Yami Safdie,yami safdie,130104,1900072
Yebba,yebba,530815,7449694
Yera,yera,39935,364545
Zara Larsson,zara larsson,2007485,68333126
Zoe Wees,zoe wees,265843,2810504
aespa,aespa,1263250,254706954
bbno$,bbno$,1432447,63699066
beabadoobee,beabadoobee,2497712,297858611
girl in red,girl in red,2402274,110843304
i-dle,i-dle,433118,13174512
imase,imase,373616,5297990
j-hope,j-hope,985799,710634073
late night drive home,late night drive home,568724,11512406
melvitto,melvitto,196051,2586479
mgk,mgk,970995,34553832
twocolors,twocolors,286551,3085981
zzoilo,zzoilo,153714,1899632
Álvaro De Luna,álvaro de luna,33509,528629
